spend_month,customer_id,country_code,legal_entity,customer_segment,total_spend,food_dining,retail_shopping,travel_transport,healthcare,entertainment,utilities,grocery,hotel,fuel,other_spend,transaction_count,avg_txn_amount,top_merchant,top_category,currency_code,created_at
2025-01,CUST_000001,SG,SG_BANK,mass,1064.91,0.0,0.0,0.0,0.0,75.07,335.8,654.04,0.0,0.0,0.0,5,212.98,NTUC FairPrice,grocery,SGD,2025-12-31 23:59:59
2025-02,CUST_000001,SG,SG_BANK,mass,1080.98,0.0,0.0,1080.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,540.49,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-03,CUST_000001,SG,SG_BANK,mass,302.56,80.14,0.0,0.0,0.0,0.0,222.42,0.0,0.0,0.0,0.0,3,100.85,Singtel,utilities,SGD,2025-12-31 23:59:59
2025-04,CUST_000001,SG,SG_BANK,mass,1591.88,81.49,628.89,268.07,0.0,0.0,348.45,264.98,0.0,0.0,0.0,7,227.41,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-05,CUST_000001,SG,SG_BANK,mass,1453.77,77.63,87.76,732.04,446.51,0.0,0.0,0.0,0.0,109.83,0.0,6,242.3,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-06,CUST_000001,SG,SG_BANK,mass,990.77,0.0,333.89,447.77,0.0,8.64,92.96,107.51,0.0,0.0,0.0,5,198.15,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-07,CUST_000001,SG,SG_BANK,mass,696.35,0.0,345.03,351.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,174.09,ZALORA Singapore,travel_transport,SGD,2025-12-31 23:59:59
2025-08,CUST_000001,SG,SG_BANK,mass,469.14,0.0,0.0,288.57,0.0,93.47,0.0,87.1,0.0,0.0,0.0,3,156.38,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-09,CUST_000001,SG,SG_BANK,mass,493.38,0.0,0.0,0.0,0.0,0.0,330.05,163.33,0.0,0.0,0.0,2,246.69,Singtel,utilities,SGD,2025-12-31 23:59:59
2025-10,CUST_000001,SG,SG_BANK,mass,1908.65,30.52,358.05,428.01,422.52,324.94,344.61,0.0,0.0,0.0,0.0,7,272.66,Booking.com,travel_transport,SGD,2025-12-31 23:59:59
