kpi_month,country_code,legal_entity,total_customers,active_customers,new_customers,churned_customers,customer_growth_pct,churn_rate,total_accounts,active_accounts,total_credit_extended,total_outstanding,total_spend,spend_growth_pct,avg_balance,avg_utilization,fraud_rate,decline_rate,delinquency_rate,full_payment_rate,npl_rate,est_interest_income,currency_code,fx_rate_to_usd,created_at
2025-01,SG,SG_BANK,150,150,0,2,0.0,0.0133,180,180,8638100.0,4295775.06,375016.23,0.0,23865.42,0.4973,0.008179,0.061614,0.0944,0.5111,0.0,64436.63,SGD,0.74,2025-12-31 23:59:59
2025-01,MY,MY_BANK,200,200,0,1,0.0,0.005,247,247,7937400.0,5246874.22,1633460.12,0.0,21242.41,0.661,0.009688,0.05476,0.1903,0.417,0.0,78703.11,MYR,0.215,2025-12-31 23:59:59
2025-01,IN,IN_BANK,150,150,0,2,0.0,0.0133,180,180,107539900.0,72514507.17,24912002.73,0.0,402858.37,0.6743,0.007523,0.050652,0.1667,0.4222,0.0,1087717.61,INR,0.012,2025-12-31 23:59:59
2025-02,SG,SG_BANK,150,150,0,2,0.0,0.0133,180,178,8638100.0,1478214.14,346525.89,-0.076,8212.3,0.1711,0.011494,0.050903,0.2167,0.5,0.0,22173.21,SGD,0.74,2025-12-31 23:59:59
2025-02,MY,MY_BANK,200,198,0,2,0.0,0.01,247,245,7937400.0,3717257.03,1657051.43,0.0144,15049.62,0.4683,0.007237,0.060451,0.17,0.4453,0.0,55758.86,MYR,0.215,2025-12-31 23:59:59
2025-02,IN,IN_BANK,150,150,0,2,0.0,0.0133,180,180,107539900.0,52165289.24,25378789.15,0.0187,289807.16,0.4851,0.007364,0.050565,0.1444,0.4167,0.0,782479.34,INR,0.012,2025-12-31 23:59:59
2025-03,SG,SG_BANK,150,150,0,1,0.0,0.0067,180,180,8638100.0,942670.68,353126.94,0.019,5237.06,0.1091,0.012325,0.0493,0.1611,0.3944,0.0,14140.06,SGD,0.74,2025-12-31 23:59:59
2025-03,MY,MY_BANK,200,200,0,3,0.0,0.015,247,247,7937400.0,2880384.8,1697967.56,0.0247,11661.48,0.3629,0.006312,0.05286,0.1417,0.4332,0.0,43205.77,MYR,0.215,2025-12-31 23:59:59
2025-03,IN,IN_BANK,150,150,0,2,0.0,0.0133,180,180,107539900.0,45726690.9,24532905.9,-0.0333,254037.17,0.4252,0.008573,0.066566,0.1667,0.4389,0.0,685900.36,INR,0.012,2025-12-31 23:59:59
2025-04,SG,SG_BANK,150,150,0,2,0.0,0.0133,180,179,8638100.0,876410.0,356583.99,0.0098,4868.94,0.1015,0.007535,0.05436,0.1889,0.4278,0.0,13146.15,SGD,0.74,2025-12-31 23:59:59
2025-04,MY,MY_BANK,200,200,0,3,0.0,0.015,247,246,7937400.0,2899835.42,1819024.3,0.0713,11740.22,0.3653,0.007223,0.048555,0.1377,0.4309,0.0,43497.53,MYR,0.215,2025-12-31 23:59:59
2025-04,IN,IN_BANK,150,150,0,1,0.0,0.0067,180,180,107539900.0,45343565.45,24469394.89,-0.0026,251908.7,0.4216,0.007929,0.054509,0.1667,0.5056,0.0,680153.48,INR,0.012,2025-12-31 23:59:59
2025-05,SG,SG_BANK,150,150,0,0,0.0,0.0,180,179,8638100.0,683133.76,351821.28,-0.0134,3795.19,0.0791,0.005949,0.053542,0.1389,0.4581,0.0,10247.01,SGD,0.74,2025-12-31 23:59:59
2025-05,MY,MY_BANK,200,200,0,2,0.0,0.01,247,246,7937400.0,2863640.85,1686577.49,-0.0728,11593.69,0.3608,0.007368,0.055669,0.1336,0.5244,0.0,42954.61,MYR,0.215,2025-12-31 23:59:59
2025-05,IN,IN_BANK,150,150,0,1,0.0,0.0067,180,180,107539900.0,40111814.12,23448159.23,-0.0417,222843.41,0.373,0.007519,0.06416,0.1667,0.45,0.0,601677.21,INR,0.012,2025-12-31 23:59:59
2025-06,SG,SG_BANK,150,150,0,2,0.0,0.0133,180,180,8638100.0,593225.38,365903.1,0.04,3295.7,0.0687,0.009559,0.058948,0.1667,0.4222,0.0,8898.38,SGD,0.74,2025-12-31 23:59:59
2025-06,MY,MY_BANK,200,200,0,1,0.0,0.005,247,247,7937400.0,2759532.98,1660849.51,-0.0153,11172.2,0.3477,0.010484,0.054032,0.1741,0.413,0.0,41392.99,MYR,0.215,2025-12-31 23:59:59
2025-06,IN,IN_BANK,150,149,0,1,0.0,0.0067,180,179,107539900.0,38111570.23,25031961.93,0.0675,211730.95,0.3544,0.005358,0.056016,0.1667,0.4581,0.0,571673.55,INR,0.012,2025-12-31 23:59:59
2025-07,SG,SG_BANK,150,150,0,2,0.0,0.0133,180,180,8638100.0,531584.96,339488.75,-0.0722,2953.25,0.0615,0.009518,0.06047,0.15,0.4,0.0,7973.77,SGD,0.74,2025-12-31 23:59:59
2025-07,MY,MY_BANK,200,196,0,2,0.0,0.01,247,243,7937400.0,2820244.26,1648918.12,-0.0072,11417.99,0.3553,0.005747,0.067734,0.1538,0.4327,0.0,42303.66,MYR,0.215,2025-12-31 23:59:59
2025-07,IN,IN_BANK,150,148,0,0,0.0,0.0,180,178,107539900.0,39224790.6,24605427.9,-0.017,217915.5,0.3647,0.009635,0.055274,0.1667,0.4333,0.0,588371.86,INR,0.012,2025-12-31 23:59:59
2025-08,SG,SG_BANK,150,148,0,2,0.0,0.0133,180,177,8638100.0,549881.42,341241.11,0.0052,3054.9,0.0637,0.008909,0.061804,0.1444,0.3966,0.0,8248.22,SGD,0.74,2025-12-31 23:59:59
2025-08,MY,MY_BANK,200,200,0,3,0.0,0.015,247,247,7937400.0,2784538.34,1691448.56,0.0258,11273.43,0.3508,0.012903,0.049194,0.1579,0.413,0.0,41768.08,MYR,0.215,2025-12-31 23:59:59
2025-08,IN,IN_BANK,150,150,0,1,0.0,0.0067,180,180,107539900.0,40856320.12,25302548.73,0.0283,226979.56,0.3799,0.008806,0.058708,0.1778,0.4167,0.0,612844.8,INR,0.012,2025-12-31 23:59:59
2025-09,SG,SG_BANK,150,150,0,0,0.0,0.0,180,180,8638100.0,584471.3,380262.7,0.1144,3247.06,0.0677,0.006739,0.057543,0.1667,0.4833,0.0,8767.07,SGD,0.74,2025-12-31 23:59:59
2025-09,MY,MY_BANK,200,200,0,1,0.0,0.005,247,246,7937400.0,2734170.78,1718242.35,0.0158,11069.52,0.3445,0.004835,0.052377,0.1417,0.4494,0.0,41012.56,MYR,0.215,2025-12-31 23:59:59
2025-09,IN,IN_BANK,150,150,0,1,0.0,0.0067,180,180,107539900.0,41387798.48,23827069.67,-0.0583,229932.21,0.3849,0.00444,0.060187,0.1833,0.45,0.0,620816.98,INR,0.012,2025-12-31 23:59:59
2025-10,SG,SG_BANK,150,149,0,2,0.0,0.0133,180,179,8638100.0,557683.93,369314.17,-0.0288,3098.24,0.0646,0.011561,0.052023,0.15,0.4413,0.0,8365.26,SGD,0.74,2025-12-31 23:59:59
2025-10,MY,MY_BANK,200,198,0,1,0.0,0.005,247,245,7937400.0,2716198.08,1723077.82,0.0028,10996.75,0.3422,0.009554,0.053344,0.2105,0.435,0.0,40742.97,MYR,0.215,2025-12-31 23:59:59
2025-10,IN,IN_BANK,150,150,0,1,0.0,0.0067,180,180,107539900.0,43341526.03,25704572.69,0.0788,240786.26,0.403,0.008588,0.061546,0.15,0.4278,0.0,650122.89,INR,0.012,2025-12-31 23:59:59
2025-11,SG,SG_BANK,150,149,0,2,0.0,0.0133,180,179,8638100.0,560915.6,359932.78,-0.0254,3116.2,0.0649,0.008561,0.05404,0.1167,0.4358,0.0,8413.73,SGD,0.74,2025-12-31 23:59:59
2025-11,MY,MY_BANK,200,198,0,1,0.0,0.005,247,245,7937400.0,2844030.87,1705886.92,-0.01,11514.3,0.3583,0.010142,0.053144,0.1336,0.4615,0.0,42660.46,MYR,0.215,2025-12-31 23:59:59
2025-11,IN,IN_BANK,150,150,0,0,0.0,0.0,180,180,107539900.0,42802708.23,26137943.34,0.0169,237792.82,0.398,0.011583,0.045367,0.15,0.5056,0.0,642040.62,INR,0.012,2025-12-31 23:59:59
2025-12,SG,SG_BANK,150,150,0,1,0.0,0.0067,180,180,8638100.0,596747.27,367841.63,0.022,3315.26,0.0691,0.011224,0.049706,0.0833,0.4667,0.0,8951.21,SGD,0.74,2025-12-31 23:59:59
2025-12,MY,MY_BANK,200,199,0,2,0.0,0.01,247,244,7937400.0,2763092.08,1769266.85,0.0372,11186.61,0.3481,0.0081,0.046983,0.1862,0.4571,0.0,41446.38,MYR,0.215,2025-12-31 23:59:59
2025-12,IN,IN_BANK,150,150,0,1,0.0,0.0067,180,180,107539900.0,40268478.59,24476155.31,-0.0636,223713.77,0.3745,0.011976,0.062375,0.15,0.4389,0.0,604027.18,INR,0.012,2025-12-31 23:59:59
