merchant_id,country_code,merchant_name,merchant_category,mcc_code,business_type,address,city,is_online,risk_tier,fraud_rate,decline_rate,created_at,updated_at
MCH_00001,SG,NTUC FairPrice,grocery,5411,supermarket,13 Main St,Singapore,0,low,0.0033,0.0389,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00002,SG,Cold Storage,grocery,5411,supermarket,19 Main St,Singapore,0,low,0.0029,0.0305,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00003,SG,Sheng Siong,grocery,5411,supermarket,125 Main St,Singapore,0,low,0.0026,0.0304,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00004,SG,Grab Food SG,food_dining,5812,food_delivery,162 Main St,Singapore,1,low,0.0039,0.036,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00005,SG,McDonald's Singapore,food_dining,5812,fast_food,91 Main St,Singapore,0,low,0.0022,0.0397,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00006,SG,Ya Kun Kaya Toast,food_dining,5812,cafe,159 Main St,Singapore,0,low,0.0025,0.0335,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00007,SG,TCC Coffee,food_dining,5812,cafe,154 Main St,Singapore,0,low,0.0026,0.0389,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00008,SG,Bengawan Solo,food_dining,5812,bakery,196 Main St,Singapore,0,low,0.0022,0.031,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00009,SG,Old Chang Kee,food_dining,5812,fast_food,45 Main St,Singapore,0,low,0.0023,0.0349,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00010,SG,BreadTalk,food_dining,5812,bakery,100 Main St,Singapore,0,low,0.0035,0.0325,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00011,SG,Grab Transport SG,travel_transport,4111,ride_hailing,143 Main St,Singapore,1,low,0.0029,0.0316,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00012,SG,ComfortDelGro,travel_transport,4111,taxi,93 Main St,Singapore,0,low,0.0037,0.0315,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00013,SG,Singapore Airlines,travel_transport,4511,airline,29 Main St,Singapore,1,low,0.0028,0.0338,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00014,SG,Scoot,travel_transport,4511,airline,83 Main St,Singapore,1,low,0.0034,0.0326,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00015,SG,SP Group,utilities,4900,utility,166 Main St,Singapore,0,low,0.0028,0.0396,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00016,SG,Singtel,utilities,4814,telco,50 Main St,Singapore,0,low,0.0035,0.03,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00017,SG,StarHub,utilities,4814,telco,139 Main St,Singapore,0,low,0.0036,0.032,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00018,SG,Raffles Medical Group,healthcare,8011,clinic,75 Main St,Singapore,0,low,0.0026,0.0344,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00019,SG,Mount Elizabeth Hospital,healthcare,8011,hospital,5 Main St,Singapore,0,low,0.0026,0.0384,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00020,SG,Parkway Health,healthcare,8011,clinic,128 Main St,Singapore,0,low,0.003,0.0358,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00021,SG,Golden Village,entertainment,7832,cinema,85 Main St,Singapore,0,low,0.002,0.0346,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00022,SG,Shaw Theatres,entertainment,7832,cinema,43 Main St,Singapore,0,low,0.002,0.0337,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00023,SG,Charles & Keith,retail_shopping,5999,fashion,175 Main St,Singapore,0,low,0.0028,0.0351,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00024,SG,Uniqlo Singapore,retail_shopping,5999,fashion,90 Main St,Singapore,0,low,0.0021,0.0377,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00025,SG,ZALORA Singapore,retail_shopping,5999,fashion,81 Main St,Singapore,1,low,0.0024,0.0368,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00026,SG,Sephora Singapore,retail_shopping,5999,beauty,128 Main St,Singapore,0,low,0.0025,0.037,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00027,SG,Shell Singapore,fuel,5541,petrol_station,47 Main St,Singapore,0,low,0.0028,0.0363,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00028,SG,SPC Petrol,fuel,5541,petrol_station,54 Main St,Singapore,0,low,0.0023,0.0388,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00029,SG,Marriott Singapore,hotel,7011,hotel,190 Main St,Singapore,0,low,0.0026,0.0323,2024-01-01 00:00:00,2025-12-31 23:59:59
MCH_00030,SG,Pan Pacific Hotel,hotel,7011,hotel,48 Main St,Singapore,0,low,0.0029,0.035,2024-01-01 00:00:00,2025-12-31 23:59:59
