payment_id,account_id,customer_id,country_code,legal_entity,payment_date,due_date,statement_month,minimum_due,total_due,payment_amount,payment_method,payment_channel,payment_status,overdue_days,late_fee,reference_number,created_at
PAY_00000001,ACC_0000001,CUST_000001,SG,SG_BANK,2025-03-10 00:00:00,2025-02-21,2025-01,291.59,9719.56,291.59,online_banking,branch,overdue,17,25.0,PREF000000000002,2025-03-10 00:00:00
PAY_00000002,ACC_0000001,CUST_000001,SG,SG_BANK,2025-03-14 00:00:00,2025-03-21,2025-02,321.69,10723.01,10723.01,online_banking,internet_banking,paid_full,0,0.0,PREF000000000003,2025-03-14 00:00:00
PAY_00000003,ACC_0000001,CUST_000001,SG,SG_BANK,2025-04-21 00:00:00,2025-04-21,2025-03,50.0,302.56,50.0,online_banking,branch,paid_minimum,0,0.0,PREF000000000004,2025-04-21 00:00:00
PAY_00000004,ACC_0000001,CUST_000001,SG,SG_BANK,2025-05-12 00:00:00,2025-05-21,2025-04,55.48,1849.49,1849.49,cheque,branch,paid_full,0,0.0,PREF000000000005,2025-05-12 00:00:00
PAY_00000005,ACC_0000001,CUST_000001,SG,SG_BANK,2025-06-19 00:00:00,2025-06-21,2025-05,50.0,1453.77,1370.9,bank_transfer,mobile_app,paid_partial,0,0.0,PREF000000000006,2025-06-19 00:00:00
PAY_00000006,ACC_0000001,CUST_000001,SG,SG_BANK,2025-07-21 00:00:00,2025-07-21,2025-06,50.0,1075.3,50.0,giro,mobile_app,paid_minimum,0,0.0,PREF000000000007,2025-07-21 00:00:00
PAY_00000007,ACC_0000001,CUST_000001,SG,SG_BANK,2025-08-20 00:00:00,2025-08-21,2025-07,52.26,1742.16,683.63,giro,branch,paid_partial,0,0.0,PREF000000000008,2025-08-20 00:00:00
PAY_00000008,ACC_0000001,CUST_000001,SG,SG_BANK,2025-09-17 00:00:00,2025-09-21,2025-08,50.0,1548.84,1107.57,cheque,mobile_app,paid_partial,0,0.0,PREF000000000009,2025-09-17 00:00:00
PAY_00000009,ACC_0000001,CUST_000001,SG,SG_BANK,2025-11-24 00:00:00,2025-10-21,2025-09,50.0,943.48,50.0,giro,atm,overdue,34,25.0,PREF000000000010,2025-11-24 00:00:00
PAY_00000010,ACC_0000001,CUST_000001,SG,SG_BANK,2025-11-17 00:00:00,2025-11-21,2025-10,85.36,2845.5,2327.12,giro,internet_banking,paid_partial,0,0.0,PREF000000000011,2025-11-17 00:00:00
PAY_00000011,ACC_0000001,CUST_000001,SG,SG_BANK,2025-12-12 00:00:00,2025-12-21,2025-11,53.5,1783.33,1783.33,giro,branch,paid_full,0,0.0,PREF000000000012,2025-12-12 00:00:00
PAY_00000012,ACC_0000001,CUST_000001,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,50.0,1457.22,50.0,online_banking,atm,paid_minimum,0,0.0,PREF000000000013,2025-12-28 00:00:00
PAY_00000013,ACC_0000002,CUST_000002,SG,SG_BANK,2025-02-16 00:00:00,2025-02-21,2025-01,3808.46,126948.57,126948.57,bank_transfer,atm,paid_full,0,0.0,PREF000000000014,2025-02-16 00:00:00
