metric_date,country_code,legal_entity,customer_segment,total_txn,approved_txn,declined_txn,fraud_txn,suspicious_txn,total_amount,fraud_amount,fraud_rate,decline_rate,avg_fraud_score,delinquency_1_30,delinquency_31_60,delinquency_61_90,delinquency_91plus,high_risk_accounts,currency_code,created_at
2025-01-31,SG,SG_BANK,mass,449,421,28,4,13,97825.12,899.83,0.008909,0.062361,0.1921,0.0795,0.0227,0.0,0.0,11,SGD,2025-12-31 23:59:59
2025-01-31,SG,SG_BANK,affluent,828,773,55,8,36,166287.71,2215.01,0.009662,0.066425,0.2039,0.0735,0.0147,0.0,0.0,26,SGD,2025-12-31 23:59:59
2025-01-31,SG,SG_BANK,premium,557,527,30,3,7,110903.4,778.07,0.005386,0.05386,0.192,0.0417,0.0417,0.0,0.0,7,SGD,2025-12-31 23:59:59
2025-01-31,MY,MY_BANK,mass,638,605,33,10,24,407142.2,8872.16,0.015674,0.051724,0.1972,0.1567,0.0522,0.0,0.0,20,MYR,2025-12-31 23:59:59
2025-01-31,MY,MY_BANK,affluent,942,892,50,5,21,679870.07,3736.99,0.005308,0.053079,0.1872,0.1235,0.0247,0.0,0.0,19,MYR,2025-12-31 23:59:59
2025-01-31,MY,MY_BANK,premium,794,747,47,8,24,546447.85,5627.26,0.010076,0.059194,0.1965,0.1875,0.0312,0.0,0.0,15,MYR,2025-12-31 23:59:59
2025-01-31,IN,IN_BANK,mass,383,358,25,1,10,4709691.1,3191.42,0.002611,0.065274,0.2008,0.1125,0.0,0.0,0.0,9,INR,2025-12-31 23:59:59
2025-01-31,IN,IN_BANK,affluent,779,743,36,6,20,10191727.6,81853.43,0.007702,0.046213,0.1952,0.1765,0.0294,0.0,0.0,17,INR,2025-12-31 23:59:59
2025-01-31,IN,IN_BANK,premium,832,792,40,8,22,10010584.03,109615.75,0.009615,0.048077,0.1923,0.2188,0.0,0.0,0.0,18,INR,2025-12-31 23:59:59
2025-02-28,SG,SG_BANK,mass,438,418,20,5,12,80006.03,418.56,0.011416,0.045662,0.1948,0.1818,0.0227,0.0,0.0,10,SGD,2025-12-31 23:59:59
2025-02-28,SG,SG_BANK,affluent,843,788,55,8,26,167237.13,955.07,0.00949,0.065243,0.1985,0.1765,0.0735,0.0,0.0,22,SGD,2025-12-31 23:59:59
2025-02-28,SG,SG_BANK,premium,546,528,18,8,13,99282.73,1198.03,0.014652,0.032967,0.1968,0.125,0.0417,0.0,0.0,10,SGD,2025-12-31 23:59:59
2025-02-28,MY,MY_BANK,mass,625,571,54,4,22,403663.65,2593.32,0.0064,0.0864,0.2003,0.1642,0.0373,0.0,0.0,21,MYR,2025-12-31 23:59:59
2025-02-28,MY,MY_BANK,affluent,996,940,56,7,26,724508.67,7090.56,0.007028,0.056225,0.1958,0.1358,0.0247,0.0,0.0,23,MYR,2025-12-31 23:59:59
2025-02-28,MY,MY_BANK,premium,728,696,32,6,14,528879.11,4253.49,0.008242,0.043956,0.1979,0.0625,0.0,0.0,0.0,9,MYR,2025-12-31 23:59:59
2025-02-28,IN,IN_BANK,mass,392,381,11,4,10,4774942.13,52629.5,0.010204,0.028061,0.1966,0.1,0.025,0.0,0.0,10,INR,2025-12-31 23:59:59
2025-02-28,IN,IN_BANK,affluent,878,827,51,6,22,10508886.35,64050.71,0.006834,0.058087,0.1941,0.1324,0.0294,0.0,0.0,20,INR,2025-12-31 23:59:59
2025-02-28,IN,IN_BANK,premium,767,726,41,5,17,10094960.67,91389.44,0.006519,0.053455,0.1991,0.125,0.0312,0.0,0.0,14,INR,2025-12-31 23:59:59
2025-03-31,SG,SG_BANK,mass,452,432,20,6,15,82974.13,935.89,0.013274,0.044248,0.1949,0.125,0.0341,0.0,0.0,12,SGD,2025-12-31 23:59:59
2025-03-31,SG,SG_BANK,affluent,794,747,47,10,26,149441.46,2749.41,0.012594,0.059194,0.1999,0.1471,0.0294,0.0,0.0,20,SGD,2025-12-31 23:59:59
2025-03-31,SG,SG_BANK,premium,539,518,21,6,10,120711.35,1280.58,0.011132,0.038961,0.1927,0.125,0.0,0.0,0.0,9,SGD,2025-12-31 23:59:59
2025-03-31,MY,MY_BANK,mass,740,692,48,6,26,494939.37,5974.45,0.008108,0.064865,0.1939,0.0896,0.0299,0.0,0.0,23,MYR,2025-12-31 23:59:59
2025-03-31,MY,MY_BANK,affluent,985,938,47,7,23,662157.71,3888.3,0.007107,0.047716,0.1956,0.1358,0.0494,0.0,0.0,19,MYR,2025-12-31 23:59:59
2025-03-31,MY,MY_BANK,premium,810,771,39,3,18,540870.48,2011.93,0.003704,0.048148,0.1948,0.0625,0.0625,0.0,0.0,14,MYR,2025-12-31 23:59:59
2025-03-31,IN,IN_BANK,mass,362,336,26,2,15,4416556.95,27105.12,0.005525,0.071823,0.2053,0.0875,0.0,0.0,0.0,14,INR,2025-12-31 23:59:59
2025-03-31,IN,IN_BANK,affluent,823,765,58,7,27,10200757.23,73309.46,0.008505,0.070474,0.2003,0.1618,0.0147,0.0,0.0,20,INR,2025-12-31 23:59:59
2025-03-31,IN,IN_BANK,premium,798,750,48,8,22,9915591.72,118986.63,0.010025,0.06015,0.1935,0.25,0.0938,0.0,0.0,14,INR,2025-12-31 23:59:59
2025-04-30,SG,SG_BANK,mass,442,414,28,4,12,85913.59,774.21,0.00905,0.063348,0.2031,0.2045,0.0227,0.0,0.0,11,SGD,2025-12-31 23:59:59
2025-04-30,SG,SG_BANK,affluent,826,782,44,8,20,159270.97,1799.36,0.009685,0.053269,0.1955,0.1324,0.0294,0.0,0.0,17,SGD,2025-12-31 23:59:59
2025-04-30,SG,SG_BANK,premium,590,561,29,2,11,111399.43,498.66,0.00339,0.049153,0.1916,0.0833,0.0417,0.0,0.0,8,SGD,2025-12-31 23:59:59
2025-04-30,MY,MY_BANK,mass,756,712,44,9,23,551936.77,6491.61,0.011905,0.058201,0.1963,0.1119,0.0373,0.0,0.0,22,MYR,2025-12-31 23:59:59
2025-04-30,MY,MY_BANK,affluent,956,910,46,5,29,700500.9,5926.25,0.00523,0.048117,0.1938,0.1358,0.0,0.0,0.0,25,MYR,2025-12-31 23:59:59
2025-04-30,MY,MY_BANK,premium,780,749,31,4,12,566586.63,1454.14,0.005128,0.039744,0.1905,0.0938,0.0,0.0,0.0,10,MYR,2025-12-31 23:59:59
2025-04-30,IN,IN_BANK,mass,416,391,25,2,9,4897279.88,12304.75,0.004808,0.060096,0.1962,0.075,0.05,0.0,0.0,9,INR,2025-12-31 23:59:59
2025-04-30,IN,IN_BANK,affluent,814,769,45,6,23,9605233.91,68643.8,0.007371,0.055283,0.1866,0.1471,0.0441,0.0,0.0,17,INR,2025-12-31 23:59:59
2025-04-30,IN,IN_BANK,premium,788,748,40,8,25,9966881.1,113419.78,0.010152,0.050761,0.1956,0.1562,0.0625,0.0,0.0,15,INR,2025-12-31 23:59:59
2025-05-31,SG,SG_BANK,mass,438,409,29,3,13,77057.42,413.45,0.006849,0.06621,0.201,0.1364,0.0455,0.0,0.0,12,SGD,2025-12-31 23:59:59
2025-05-31,SG,SG_BANK,affluent,813,775,38,4,21,163300.52,1473.01,0.00492,0.04674,0.1898,0.0882,0.0294,0.0,0.0,16,SGD,2025-12-31 23:59:59
2025-05-31,SG,SG_BANK,premium,598,566,32,4,19,111463.34,676.25,0.006689,0.053512,0.1999,0.0,0.0417,0.0,0.0,12,SGD,2025-12-31 23:59:59
2025-05-31,MY,MY_BANK,mass,676,629,47,9,26,480791.61,10394.41,0.013314,0.069527,0.1984,0.1269,0.0224,0.0,0.0,22,MYR,2025-12-31 23:59:59
2025-05-31,MY,MY_BANK,affluent,963,903,60,5,22,652428.03,3936.7,0.005192,0.062305,0.1946,0.0988,0.0,0.0,0.0,20,MYR,2025-12-31 23:59:59
2025-05-31,MY,MY_BANK,premium,804,775,29,4,14,553357.85,2414.65,0.004975,0.03607,0.1879,0.125,0.0312,0.0,0.0,10,MYR,2025-12-31 23:59:59
2025-05-31,IN,IN_BANK,mass,405,374,31,3,15,4634564.18,7727.26,0.007407,0.076543,0.2036,0.15,0.05,0.0,0.0,14,INR,2025-12-31 23:59:59
2025-05-31,IN,IN_BANK,affluent,771,720,51,6,19,9174353.56,68897.38,0.007782,0.066148,0.2009,0.1176,0.0294,0.0,0.0,15,INR,2025-12-31 23:59:59
2025-05-31,IN,IN_BANK,premium,819,773,46,6,23,9639241.49,67296.75,0.007326,0.056166,0.1911,0.0938,0.0312,0.0,0.0,14,INR,2025-12-31 23:59:59
2025-06-30,SG,SG_BANK,mass,431,409,22,6,14,85209.05,1008.08,0.013921,0.051044,0.1987,0.1591,0.0341,0.0,0.0,13,SGD,2025-12-31 23:59:59
2025-06-30,SG,SG_BANK,affluent,853,794,59,5,23,164620.94,1343.65,0.005862,0.069168,0.1974,0.1471,0.0147,0.0,0.0,16,SGD,2025-12-31 23:59:59
2025-06-30,SG,SG_BANK,premium,599,569,30,7,19,116073.11,2432.94,0.011686,0.050083,0.191,0.0833,0.0,0.0,0.0,14,SGD,2025-12-31 23:59:59
2025-06-30,MY,MY_BANK,mass,664,621,43,5,24,458660.15,2121.7,0.00753,0.064759,0.1931,0.1418,0.0299,0.0,0.0,19,MYR,2025-12-31 23:59:59
2025-06-30,MY,MY_BANK,affluent,990,938,52,13,33,657231.86,11104.99,0.013131,0.052525,0.1953,0.1481,0.037,0.0,0.0,27,MYR,2025-12-31 23:59:59
2025-06-30,MY,MY_BANK,premium,826,787,39,8,23,544957.5,4245.91,0.009685,0.047215,0.2041,0.1562,0.0,0.0,0.0,18,MYR,2025-12-31 23:59:59
2025-06-30,IN,IN_BANK,mass,408,394,14,5,9,5113641.19,57105.68,0.012255,0.034314,0.1869,0.125,0.0375,0.0,0.0,8,INR,2025-12-31 23:59:59
2025-06-30,IN,IN_BANK,affluent,827,784,43,4,19,10079245.64,47779.37,0.004837,0.051995,0.1882,0.0882,0.0735,0.0,0.0,17,INR,2025-12-31 23:59:59
2025-06-30,IN,IN_BANK,premium,818,760,58,2,15,9839075.1,8182.32,0.002445,0.070905,0.1953,0.1562,0.0312,0.0,0.0,12,INR,2025-12-31 23:59:59
2025-07-31,SG,SG_BANK,mass,408,386,22,4,13,77174.88,760.14,0.009804,0.053922,0.2009,0.1364,0.0341,0.0,0.0,12,SGD,2025-12-31 23:59:59
2025-07-31,SG,SG_BANK,affluent,801,752,49,6,24,154008.81,1094.23,0.007491,0.061174,0.1921,0.1324,0.0,0.0,0.0,17,SGD,2025-12-31 23:59:59
2025-07-31,SG,SG_BANK,premium,577,540,37,7,23,108305.06,1592.8,0.012132,0.064125,0.1967,0.0833,0.0417,0.0,0.0,13,SGD,2025-12-31 23:59:59
