account_id,customer_id,product_id,credit_limit,apr,cycle_day,open_date,close_date,status,created_at
ACC_000000,CUST_000660,SILVER,25000,0.1567,2,2024-11-16,,active,2025-10-26 13:37:12.908003
ACC_000001,CUST_000876,GOLD,10000,0.1517,4,2024-05-29,,active,2025-11-23 01:29:49.897238
ACC_000002,CUST_000044,SILVER,15000,0.1822,8,2024-10-19,,active,2024-07-09 11:16:55.674059
ACC_000003,CUST_000440,GOLD,500,0.1814,3,2024-09-02,,active,2025-04-08 16:37:06.909720
ACC_000004,CUST_000666,PLATINUM,1000,0.1762,24,2024-01-06,,active,2025-11-01 11:23:47.041757
ACC_000005,CUST_000024,BUSINESS,10000,0.2174,22,2024-11-17,,active,2026-02-06 18:25:33.005048
ACC_000006,CUST_000987,PLATINUM,15000,0.1596,3,2024-10-07,,active,2024-07-10 08:55:30.203598
ACC_000007,CUST_000880,BUSINESS,1000,0.1530,20,2024-09-22,,active,2024-06-14 02:01:47.769839
ACC_000008,CUST_000122,SILVER,500,0.1622,13,2024-02-20,,active,2025-08-16 12:11:33.035216
ACC_000009,CUST_000438,SILVER,15000,0.2234,22,2024-06-15,,active,2025-04-25 08:53:23.692536
ACC_000010,CUST_000910,BUSINESS,500,0.2124,27,2024-11-16,,active,2026-01-26 07:33:16.437125
ACC_000011,CUST_000982,SILVER,10000,0.1504,2,2024-10-22,,active,2025-02-28 16:09:42.157326
ACC_000012,CUST_000220,BUSINESS,1000,0.2061,4,2024-09-05,,active,2024-06-07 02:09:19.045948
ACC_000013,CUST_000409,BUSINESS,10000,0.1925,27,2024-12-28,,active,2026-02-22 12:18:38.068688
ACC_000014,CUST_000076,GOLD,10000,0.1919,8,2024-08-05,2025-06-06,closed,2024-04-26 12:38:08.883067
ACC_000015,CUST_000215,BUSINESS,1000,0.1907,13,2024-01-03,,active,2024-06-13 04:29:54.681325
ACC_000016,CUST_000739,PLATINUM,15000,0.2394,3,2024-10-28,,active,2025-09-25 15:03:02.639427
ACC_000017,CUST_000465,GOLD,5000,0.1975,28,2024-02-09,,active,2024-11-22 00:24:19.065742
ACC_000018,CUST_000782,GOLD,1000,0.1656,14,2024-07-26,,active,2024-02-20 01:47:16.814296
ACC_000019,CUST_000265,BUSINESS,1000,0.2386,2,2024-03-25,,active,2025-03-04 18:09:38.652453
ACC_000020,CUST_000854,GOLD,500,0.1558,26,2025-02-02,,active,2024-09-22 12:59:10.101813
ACC_000021,CUST_000053,PLATINUM,25000,0.2180,26,2024-08-11,,active,2024-08-29 14:53:08.598248
ACC_000022,CUST_000300,GOLD,10000,0.1889,19,2024-09-18,2024-07-24,active,2025-09-15 15:17:57.319063
ACC_000023,CUST_000317,GOLD,25000,0.1750,26,2024-02-26,,active,2025-12-12 21:38:11.433164
ACC_000024,CUST_000988,BUSINESS,5000,0.1659,8,2024-05-19,,active,2025-10-16 16:35:52.504929
ACC_000025,CUST_000954,PLATINUM,25000,0.1517,23,2024-01-19,,active,2024-04-18 17:33:55.286167
ACC_000026,CUST_000003,PLATINUM,15000,0.1523,15,2024-03-22,,closed,2024-06-03 21:23:21.037677
ACC_000027,CUST_000774,SILVER,500,0.1852,27,2024-11-02,,active,2025-04-17 19:38:42.522632
ACC_000028,CUST_000907,BUSINESS,1000,0.2046,18,2024-10-28,,active,2025-06-20 10:56:07.443125
ACC_000029,CUST_000241,GOLD,10000,0.1807,7,2024-01-08,,active,2025-11-18 05:22:12.033013
ACC_000030,CUST_000765,SILVER,10000,0.2120,12,2024-09-21,,active,2025-06-01 07:26:48.953805
ACC_000031,CUST_000052,GOLD,25000,0.2357,20,2024-03-30,,active,2024-08-20 08:00:37.999073
ACC_000032,CUST_000227,GOLD,500,0.2382,25,2024-10-20,,closed,2024-08-05 05:36:17.972826
ACC_000033,CUST_000529,SILVER,1000,0.1818,17,2024-06-17,2025-01-24,active,2025-09-13 20:13:11.425192
ACC_000034,CUST_000205,PLATINUM,5000,0.1540,9,2024-08-21,,active,2025-06-20 13:21:28.600465
ACC_000035,CUST_000877,GOLD,5000,0.1936,5,2024-11-04,,active,2025-05-25 19:43:19.223819
ACC_000036,CUST_000641,PLATINUM,5000,0.2346,22,2024-12-01,,active,2026-01-10 22:20:25.075435
ACC_000037,CUST_000774,SILVER,1000,0.1746,19,2024-05-13,,active,2025-01-14 06:26:58.346729
ACC_000038,CUST_000005,PLATINUM,25000,0.1972,3,2024-05-08,,active,2024-05-24 05:13:44.510630
ACC_000039,CUST_000068,GOLD,10000,0.2449,23,2025-01-31,,active,2024-08-23 17:58:42.752250
ACC_000040,CUST_000350,SILVER,25000,0.2052,13,2025-01-14,,active,2024-08-13 13:43:28.894297
ACC_000041,CUST_000932,SILVER,2500,0.1767,8,2024-07-15,,active,2025-10-08 23:39:12.370696
ACC_000042,CUST_000177,SILVER,2500,0.2132,26,2024-06-25,,active,2024-03-15 07:29:09.287143
ACC_000043,CUST_000184,GOLD,15000,0.1921,7,2024-11-06,,active,2025-05-02 12:44:19.578795
ACC_000044,CUST_000493,PLATINUM,1000,0.1532,18,2024-03-11,,active,2025-10-09 15:08:18.683146
ACC_000045,CUST_000853,GOLD,500,0.1911,11,2025-01-21,,active,2026-02-05 12:38:55.254401
ACC_000046,CUST_000382,SILVER,5000,0.2180,23,2024-11-18,,active,2025-03-20 07:12:56.871042
ACC_000047,CUST_000735,PLATINUM,500,0.1761,18,2024-11-10,,active,2024-12-07 17:46:46.759732
ACC_000048,CUST_000742,SILVER,5000,0.2470,22,2024-01-13,,closed,2024-03-12 20:50:41.286334
ACC_000049,CUST_000507,GOLD,500,0.1643,1,2024-12-03,2025-11-22,active,2026-01-07 14:36:01.441369
ACC_000050,CUST_000846,SILVER,15000,0.2212,17,2024-11-08,,active,2026-01-18 02:44:34.096979
ACC_000051,CUST_000801,BUSINESS,25000,0.1611,9,2024-06-15,,closed,2024-09-01 10:13:46.947414
ACC_000052,CUST_000416,BUSINESS,10000,0.1948,23,2024-03-11,,active,2024-05-29 14:21:47.914900
ACC_000053,CUST_000326,PLATINUM,1000,0.1968,4,2024-01-01,,active,2024-01-01 16:58:57.201896
