dispute_id,transaction_id,account_id,dispute_date,dispute_reason,amount,status,created_at
DISP_000000,TXN_00048273,ACC_000983,2024-05-16 19:47:18.684234,quality,42.61,open,2024-05-15 19:47:18.684234
DISP_000001,TXN_00012655,ACC_000642,2024-04-21 21:47:09.358622,not_recognized,30.67,lost,2024-05-01 21:47:09.358622
DISP_000002,TXN_00018896,ACC_000160,2024-10-11 09:50:06.951462,fraud,17.56,closed,2024-10-18 09:50:06.951462
DISP_000003,TXN_00029812,ACC_001004,2026-01-04 15:11:11.671396,not_recognized,199.50,lost,2026-01-09 15:11:11.671396
DISP_000004,TXN_00024051,ACC_000280,2025-06-15 17:56:16.712515,quality,169.57,lost,2025-06-01 17:56:16.712515
DISP_000005,TXN_00023659,ACC_000590,2024-06-02 09:40:45.566311,duplicate,279.70,open,2024-05-28 09:40:45.566311
DISP_000006,TXN_00006123,ACC_000951,2025-10-28 22:29:51.657535,unauthorized,7.99,won,2025-11-06 22:29:51.657535
DISP_000007,TXN_00040901,ACC_000991,2024-03-07 02:05:16.723446,duplicate,67.88,lost,2024-03-14 02:05:16.723446
DISP_000008,TXN_00024613,ACC_000449,2024-06-24 21:01:23.865129,unauthorized,55.52,won,2024-06-30 21:01:23.865129
DISP_000009,TXN_00041223,ACC_000156,2024-11-28 19:11:40.143126,duplicate,65.17,won,2024-12-01 19:11:40.143126
DISP_000010,TXN_00032676,ACC_000590,2024-05-08 14:34:40.919909,quality,72.90,lost,2024-05-04 14:34:40.919909
DISP_000011,TXN_00045981,ACC_000494,2024-12-11 09:23:58.121224,fraud,547.26,lost,2024-12-14 09:23:58.121224
DISP_000012,TXN_00001622,ACC_000198,2024-11-02 03:32:03.803612,unauthorized,12.39,open,2024-10-20 03:32:03.803612
DISP_000013,TXN_00002020,ACC_000205,2025-09-29 23:43:34.353541,duplicate,901.17,closed,2025-10-15 23:43:34.353541
DISP_000014,TXN_00030473,ACC_001018,2024-09-21 19:48:14.526998,not_recognized,706.69,won,2024-09-05 19:48:14.526998
DISP_000015,TXN_00043731,ACC_000946,2024-07-05 21:18:38.320902,quality,1267.08,won,2024-07-18 21:18:38.320902
DISP_000016,TXN_00017611,ACC_000230,2025-10-09 05:58:54.722908,duplicate,84.33,won,2025-09-17 05:58:54.722908
DISP_000017,TXN_00035579,ACC_000352,2025-04-21 04:28:13.493782,duplicate,657.89,lost,2025-04-18 04:28:13.493782
DISP_000018,TXN_00023732,ACC_001111,2024-04-02 04:07:54.453115,quality,22.93,closed,2024-03-17 04:07:54.453115
DISP_000019,TXN_00003046,ACC_000124,2024-06-11 00:21:18.075559,quality,69.32,open,2024-06-21 00:21:18.075559
DISP_000020,TXN_00011004,ACC_001156,2024-02-21 11:31:05.712522,unauthorized,345.18,lost,2024-02-28 11:31:05.712522
DISP_000021,TXN_00009039,ACC_000879,2026-01-16 19:39:23.888645,fraud,138.59,closed,2026-02-04 19:39:23.888645
DISP_000022,TXN_00003663,ACC_000050,2024-06-08 09:31:30.852053,not_recognized,13.32,closed,2024-06-01 09:31:30.852053
DISP_000023,TXN_00022861,ACC_001140,2024-04-25 11:35:22.599295,quality,233.38,open,2024-05-19 11:35:22.599295
DISP_000024,TXN_00016986,ACC_001178,2025-03-11 04:29:52.994435,quality,41.78,lost,2025-03-10 04:29:52.994435
DISP_000025,TXN_00030635,ACC_000107,2026-01-25 03:08:51.920890,fraud,371.54,open,2026-02-03 03:08:51.920890
DISP_000026,TXN_00019741,ACC_000627,2025-06-01 09:34:34.710698,unauthorized,729.75,closed,2025-05-26 09:34:34.710698
DISP_000027,TXN_00025711,ACC_000797,2024-02-09 13:27:06.999422,not_recognized,78.80,open,2024-02-21 13:27:06.999422
DISP_000028,TXN_00033805,ACC_000685,2025-03-28 23:05:35.954586,unauthorized,88.75,won,2025-03-24 23:05:35.954586
DISP_000029,TXN_00028610,ACC_001018,2024-10-16 18:31:38.158343,not_recognized,24.32,closed,2024-10-23 18:31:38.158343
DISP_000030,TXN_00031544,ACC_001035,2025-05-06 19:01:19.952812,quality,11.76,closed,2025-05-23 19:01:19.952812
DISP_000031,TXN_00041789,ACC_000531,2025-04-02 17:51:08.648244,not_recognized,49.35,won,2025-04-03 17:51:08.648244
DISP_000032,TXN_00025138,ACC_000090,2025-05-19 18:08:20.077358,unauthorized,73.34,won,2025-05-07 18:08:20.077358
DISP_000033,TXN_00008570,ACC_001172,2025-11-09 04:11:05.456506,quality,36.41,open,2025-11-02 04:11:05.456506
DISP_000034,TXN_00025244,ACC_000952,2025-09-09 13:39:50.420800,fraud,18.06,open,2025-09-22 13:39:50.420800
DISP_000035,TXN_00002572,ACC_001112,2025-09-01 01:04:55.968922,quality,106.61,won,2025-09-02 01:04:55.968922
DISP_000036,TXN_00029692,ACC_000533,2024-12-28 22:43:45.911259,duplicate,96.49,closed,2024-12-31 22:43:45.911259
DISP_000037,TXN_00022650,ACC_001145,2025-10-08 01:28:58.201501,quality,25.10,lost,2025-09-16 01:28:58.201501
DISP_000038,TXN_00031445,ACC_000761,2024-10-09 11:23:49.821044,duplicate,37.67,lost,2024-09-18 11:23:49.821044
DISP_000039,TXN_00030392,ACC_001184,2025-05-01 23:03:50.814642,unauthorized,31.35,won,2025-05-04 23:03:50.814642
DISP_000040,TXN_00047527,ACC_000464,2025-04-08 03:24:20.994238,duplicate,13.77,won,2025-03-30 03:24:20.994238
DISP_000041,TXN_00031745,ACC_001122,2025-08-11 18:06:13.789230,fraud,10.24,lost,2025-07-16 18:06:13.789230
DISP_000042,TXN_00014255,ACC_001199,2025-07-02 03:22:35.381521,fraud,84.13,closed,2025-07-01 03:22:35.381521
DISP_000043,TXN_00046685,ACC_000569,2026-03-11 22:44:57.166935,duplicate,13.66,won,2026-03-18 22:44:57.166935
DISP_000044,TXN_00021143,ACC_000761,2025-12-09 13:05:54.459723,not_recognized,288.21,won,2026-01-04 13:05:54.459723
DISP_000045,TXN_00012331,ACC_001170,2025-01-01 01:43:23.804359,unauthorized,50.49,open,2025-01-17 01:43:23.804359
DISP_000046,TXN_00036332,ACC_001087,2025-05-08 11:22:34.665393,duplicate,36.78,won,2025-05-09 11:22:34.665393
DISP_000047,TXN_00033542,ACC_000324,2025-11-28 23:06:04.103052,not_recognized,25.66,open,2025-11-28 23:06:04.103052
DISP_000048,TXN_00041433,ACC_001048,2025-06-16 05:08:31.141566,duplicate,71.34,won,2025-06-18 05:08:31.141566
DISP_000049,TXN_00045127,ACC_000146,2024-07-11 16:16:26.335522,quality,13.61,open,2024-07-10 16:16:26.335522
