alert_id,transaction_id,account_id,alert_date,fraud_score,alert_type,confirmed_fraud,created_at
ALERT_0000000,TXN_00045268,ACC_000795,2024-09-10 08:08:08.161380,0.9796,amount,False,2024-09-10 08:08:08.161380
ALERT_0000001,TXN_00013465,ACC_000668,2024-07-03 06:34:06.830826,0.7752,merchant,False,2024-07-03 06:34:06.830826
ALERT_0000002,TXN_00045914,ACC_000474,2025-07-12 02:48:12.536740,0.9317,merchant,False,2025-07-12 02:48:12.536740
ALERT_0000003,TXN_00008994,ACC_000489,2024-10-04 07:00:50.979039,0.8695,device,False,2024-10-04 07:00:50.979039
ALERT_0000004,TXN_00000465,ACC_000163,2025-05-21 23:22:19.351888,0.7880,amount,False,2025-05-21 23:22:19.351888
ALERT_0000005,TXN_00021873,ACC_001076,2024-06-19 11:32:10.769744,0.7801,device,False,2024-06-19 11:32:10.769744
ALERT_0000006,TXN_00044754,ACC_000636,2025-06-06 08:11:10.497524,0.8857,velocity,False,2025-06-06 08:11:10.497524
ALERT_0000007,TXN_00030150,ACC_000891,2024-12-15 07:03:24.321109,0.7242,location,False,2024-12-15 07:03:24.321109
ALERT_0000008,TXN_00022007,ACC_000364,2025-04-08 01:05:07.802946,0.7251,velocity,False,2025-04-08 01:05:07.802946
ALERT_0000009,TXN_00029767,ACC_000778,2025-04-24 03:23:39.395327,0.9572,location,False,2025-04-24 03:23:39.395327
ALERT_0000010,TXN_00003532,ACC_000983,2025-04-14 22:21:12.787166,0.9156,location,True,2025-04-14 22:21:12.787166
ALERT_0000011,TXN_00013845,ACC_000990,2024-09-19 16:50:44.215595,0.9629,velocity,False,2024-09-19 16:50:44.215595
ALERT_0000012,TXN_00029356,ACC_000857,2024-05-29 03:05:31.700788,0.9096,device,True,2024-05-29 03:05:31.700788
ALERT_0000013,TXN_00009236,ACC_000023,2025-05-09 21:41:08.984297,0.8646,velocity,True,2025-05-09 21:41:08.984297
ALERT_0000014,TXN_00026606,ACC_000805,2025-10-07 00:39:00.949935,0.7054,amount,False,2025-10-07 00:39:00.949935
ALERT_0000015,TXN_00040979,ACC_000384,2024-04-21 19:54:02.513206,0.8238,velocity,False,2024-04-21 19:54:02.513206
