merchant_id,merchant_name,merchant_category_code,address_line1,city,state,zip_code,country,online_offline_flag,created_at
MERCH_000000,Bender-Waters,5912,5787 Reyes Inlet,East Valerieville,DE,20570,US,online,2026-01-24 13:33:55.932767
MERCH_000001,"Rivera, Rivera and Lopez",5541,908 Johnson Circles,Markfurt,WI,17017,US,online,2024-09-12 15:43:02.251979
MERCH_000002,"Rose, Wilson and Ruiz",5814,879 Kristin Knoll Apt. 722,Lake Cameron,AR,32346,US,offline,2026-01-20 03:24:17.271663
MERCH_000003,"Roth, Ruiz and Peters",5999,33802 Prince Plains,New Stephen,DC,46015,US,offline,2024-12-19 12:08:48.917735
MERCH_000004,Sharp PLC,6011,48600 Brittany Unions Apt. 356,Fosterhaven,IN,74078,US,online,2024-03-19 03:44:31.734714
MERCH_000005,Morton PLC,5814,43559 Kenneth Fords Suite 788,Lake Terriville,KY,79312,US,offline,2024-04-07 02:53:35.504358
MERCH_000006,Hoffman PLC,4121,111 Ware Union Apt. 851,Port Kendraburgh,AZ,91417,US,online,2024-10-11 05:48:01.609571
MERCH_000007,Nelson Ltd,5541,1864 Jonathon Station Suite 874,Port Scottfurt,CO,77262,US,offline,2024-08-05 03:21:04.884255
MERCH_000008,Hill-Lee,5411,92557 Horton Course Suite 107,Port Debbieside,ME,44145,US,online,2024-08-15 00:20:11.838184
MERCH_000009,Douglas-Cole,4121,01774 English Passage Suite 766,East Jennifer,AZ,80148,US,online,2025-02-14 09:50:59.762274
MERCH_000010,"Johnson, Jones and Vasquez",5541,052 Brooks Spring Suite 421,Christianbury,WV,51428,US,online,2024-11-30 00:29:24.018486
MERCH_000011,"Richardson, Peters and Harris",6011,02461 Mueller Meadow,Port Sarahview,MO,53063,US,online,2024-04-01 11:44:11.027625
MERCH_000012,Martin Group,4121,405 Gregory Hollow,South Rhonda,MN,35599,US,offline,2025-07-01 21:48:54.398646
MERCH_000013,Gordon-Knight,4121,08881 Gomez Knolls Apt. 662,Lewismouth,IA,46258,US,online,2024-08-17 19:30:14.679651
MERCH_000014,Nelson-Moore,5814,9935 Zavala Extension Suite 307,North Christopher,WY,52290,US,online,2025-07-03 04:20:45.322011
MERCH_000015,Brooks LLC,6011,50921 Williams Ways,Devinborough,MH,31968,US,online,2024-05-29 05:08:14.690943
MERCH_000016,Edwards-Silva,5311,6951 Jessica Row,South Michael,OH,38542,US,online,2025-01-24 04:05:08.340737
MERCH_000017,Shields Inc,5814,843 Benjamin Square,Lake Jason,SD,36044,US,online,2024-07-01 00:11:24.226960
MERCH_000018,"Chambers, Chen and Fields",5814,52503 Perez Rest,Cherryside,MO,32168,US,online,2024-03-28 21:50:13.451507
MERCH_000019,Parker LLC,4121,17808 Lee Vista,South Paulamouth,AK,44861,US,online,2025-08-10 11:53:05.218268
MERCH_000020,Simmons-Weber,5311,85392 Moore Avenue Apt. 092,New Michaelton,OR,21990,US,offline,2025-01-12 03:00:24.638104
MERCH_000021,Lopez-Black,5814,80935 Patricia Pike,New Tracyton,NV,95171,US,online,2025-02-03 08:37:32.725512
MERCH_000022,Kramer-Martin,5541,41502 Rachel Place,Port Dianaton,WV,96188,US,offline,2025-03-25 01:09:16.405603
MERCH_000023,Carter-Rodriguez,5541,3067 Wright Spring,Lake Emily,KS,10609,US,online,2024-04-25 20:23:53.036758
MERCH_000024,Barber Ltd,5814,137 Jonathan Place Apt. 169,Christopherport,CA,98576,US,online,2025-01-19 07:31:51.487741
MERCH_000025,Hawkins-Duncan,6011,3968 Douglas Knoll,Stevenchester,IL,68033,US,offline,2025-03-27 15:45:33.408472
MERCH_000026,"Payne, Brown and Vaughn",4121,597 Carrillo Isle,Wolfetown,KS,36301,US,offline,2025-01-04 04:20:19.913442
MERCH_000027,"Ortiz, Sanchez and Martinez",5814,613 Ford Road Apt. 797,Port Amy,NJ,85923,US,offline,2024-04-30 10:04:16.710484
MERCH_000028,Johnson PLC,5411,8591 Smith Turnpike Apt. 909,Staffordview,PR,43550,US,offline,2025-12-22 19:50:30.271360
MERCH_000029,Mills Group,5541,6504 Sharp Square,Joshuaview,CO,43664,US,offline,2025-03-15 01:34:53.045694
MERCH_000030,Vargas-Owens,5912,064 Jacqueline Mountain Suite 178,Heidiside,VA,54161,US,online,2025-02-13 11:33:05.631405
MERCH_000031,Morrison Ltd,5411,7261 Patricia Spur Suite 812,East Sherry,NH,39378,US,offline,2025-08-19 19:14:43.010208
MERCH_000032,"Hutchinson, Kim and Smith",5814,2011 Orozco Via Suite 495,Port Lindabury,NC,43798,US,online,2025-02-28 02:10:27.813684
MERCH_000033,"Jensen, Martin and Lewis",4121,91092 Adrian Land Suite 119,Allenstad,IL,17427,US,online,2024-12-12 04:25:49.534621
MERCH_000034,"Perez, Rangel and Castro",4121,3858 Chandler Locks,West Samuel,NH,13131,US,offline,2025-01-17 17:42:52.671166
MERCH_000035,Freeman-Moore,4121,04810 Courtney Manor,Lake Angelashire,MN,54902,US,online,2025-04-12 02:36:53.879234
MERCH_000036,Smith Inc,6011,0519 Smith Summit Apt. 812,Frazierbury,MO,86705,US,offline,2025-02-15 09:55:01.606529
MERCH_000037,Nguyen-Sherman,6011,8606 Maria Ramp,Port Jasontown,MI,64674,US,offline,2024-09-12 22:03:50.747500
MERCH_000038,Morales PLC,5411,031 Macias Isle Suite 917,Lake Thomasmouth,AR,98790,US,offline,2024-05-10 21:33:25.444599
MERCH_000039,"Campbell, Carson and Lloyd",5814,174 James Shoal,South Stephentown,TX,33870,US,online,2025-12-17 01:24:30.497575
MERCH_000040,"Young, Garcia and Fields",6011,47641 Harris Forge,South Jameshaven,IL,70280,US,offline,2026-02-26 09:38:47.397620
MERCH_000041,Bright-Gordon,5411,8808 Anthony Valley Suite 055,North Carlport,MO,26649,US,offline,2025-08-16 03:01:51.993224
MERCH_000042,Gonzales-Smith,5541,23463 Erica Locks Apt. 445,Dianestad,TX,95833,US,online,2025-07-16 23:48:49.848250
MERCH_000043,Small PLC,5411,4956 Benton Mews,Ianburgh,AK,89839,US,offline,2025-03-11 21:35:51.216851
MERCH_000044,Caldwell Inc,5912,432 Lee Expressway,Blakehaven,NH,52567,US,offline,2024-12-29 11:12:15.944291
MERCH_000045,"Vaughn, Ortiz and Nelson",5999,2119 Mcconnell Hollow,Petersonburgh,NY,66834,US,online,2026-02-27 12:51:03.518765
MERCH_000046,"Roman, Alvarez and Cox",5411,67253 Kaufman Ports Apt. 414,Bauerland,CT,83203,US,offline,2024-04-30 17:47:41.449147
MERCH_000047,Washington PLC,5814,2976 Timothy Heights Suite 458,Eileenland,RI,69908,US,online,2025-09-15 06:31:54.619538
MERCH_000048,Lewis and Sons,4814,0133 Dudley Bridge Suite 387,Royfurt,ME,59194,US,offline,2024-06-13 23:15:04.863048
MERCH_000049,Smith-Meyer,5999,6974 Hicks Greens Apt. 693,Allenberg,FL,73092,US,offline,2024-11-16 10:59:49.792017
MERCH_000050,Flores-Fitzpatrick,4121,74066 Collins Turnpike Apt. 454,Lake Annaview,NY,24704,US,offline,2024-09-14 01:46:41.951720
MERCH_000051,"Summers, Mendoza and House",5814,18608 Denise Garden Apt. 058,Teresaland,WA,21309,US,offline,2024-05-01 12:23:53.247632
MERCH_000052,"Alexander, Chen and Shepherd",4121,11041 Bryan Keys,East Luis,GA,22152,US,online,2026-02-15 19:42:06.143769
MERCH_000053,"Smith, Cabrera and Wood",6011,68398 Nathan Summit,Marcmouth,NE,02082,US,offline,2024-04-30 15:15:16.683781
MERCH_000054,Shaffer and Sons,5411,057 Wells Forge Apt. 965,New Gloriatown,AK,25360,US,offline,2024-01-07 11:02:15.047823
MERCH_000055,"Gill, Arellano and Parker",4814,20467 Edward Rapids,Patriciaburgh,AK,20362,US,online,2024-07-01 16:36:21.442922
MERCH_000056,Peters Inc,6011,2185 Garcia Circles Suite 227,Schwartzland,OK,97485,US,online,2024-01-26 12:10:36.368795
MERCH_000057,Park-Freeman,5311,3395 Ralph Field,Brooksshire,ID,88006,US,online,2025-01-10 19:16:27.086757
MERCH_000058,Stewart-Sanchez,5912,064 Garcia Trace Apt. 406,New Adamview,WI,98134,US,online,2025-06-05 11:08:25.563765
MERCH_000059,Jensen LLC,6011,969 Andrew Fields Suite 415,Port Rachelmouth,IL,13407,US,online,2026-01-24 18:05:00.881723
MERCH_000060,Smith PLC,5541,37467 Nicole Locks Suite 390,Figueroachester,FM,79493,US,offline,2025-09-19 05:54:04.485579
MERCH_000061,Hickman-Molina,6011,43392 Sarah Ridges Suite 594,Sanchezstad,NM,08674,US,offline,2024-11-04 12:26:03.907980
MERCH_000062,Lopez-Webster,5999,726 Alexander Causeway,Dennisfurt,VA,79258,US,online,2025-10-29 14:00:55.666988
MERCH_000063,Fields-Ballard,6011,9018 Christopher Pike,Jaredborough,TX,86827,US,online,2024-06-19 11:30:44.021395
MERCH_000064,Graham Ltd,6011,06378 Ryan Ports,Anthonyfurt,LA,72069,US,online,2025-12-13 09:57:28.500399
MERCH_000065,Hughes Ltd,4121,399 Laura Land Apt. 418,Travisfort,AR,19389,US,offline,2025-05-12 05:22:28.948328
MERCH_000066,"Brown, Powers and Lopez",5541,2424 Matthew Islands Apt. 737,Barnettfurt,NV,87162,US,online,2025-10-19 08:07:31.387369
MERCH_000067,"Anderson, Miller and Sanchez",5814,1722 Mary Shoal,North Tracymouth,GA,69121,US,offline,2024-01-31 09:28:28.932823
MERCH_000068,Reyes-Allen,5311,549 Malone Plains Suite 476,Victoriaview,NY,06667,US,online,2025-01-14 17:32:14.145304
MERCH_000069,Garcia-Garcia,5814,85549 Chapman Fort Apt. 433,West Robin,DE,21280,US,online,2024-09-14 02:27:11.070390
MERCH_000070,Gonzalez Group,5812,016 Brooks Summit,Brandonberg,TN,98248,US,online,2024-02-14 20:20:32.129377
MERCH_000071,"Carter, Cole and Bradley",5812,8637 Lowery Course Apt. 052,Darleneborough,AL,01901,US,online,2025-11-09 02:37:20.805398
MERCH_000072,"Smith, Drake and Deleon",5411,59070 Michelle Isle,Port Sarahview,IL,25549,US,online,2026-01-16 18:02:34.413109
MERCH_000073,Williams Ltd,5999,289 David Landing,Mooreville,MI,23674,US,offline,2024-03-03 11:40:30.289426
MERCH_000074,Berry PLC,5812,79244 Blake Throughway Suite 182,South Angelamouth,NM,14010,US,online,2024-02-04 13:20:25.271204
MERCH_000075,Hill-Day,4121,46470 Harris Shores Suite 329,Ortizmouth,VT,19814,US,online,2024-07-20 05:32:08.330344
MERCH_000076,"Baker, Smith and Johnson",5999,2669 Ashley Motorway Apt. 041,Lake Mariastad,DC,23488,US,online,2024-08-08 12:26:09.011711
MERCH_000077,"Sherman, Hall and Porter",5912,13179 Hernandez Springs Apt. 457,Torresstad,NY,56319,US,offline,2025-11-05 09:38:50.005607
MERCH_000078,Owens Inc,5912,0633 Murray Garden Suite 422,Rebeccaside,ID,03410,US,offline,2024-04-25 06:24:56.093999
MERCH_000079,"Grant, Smith and Randolph",5999,8468 Brown Shoals,Port Jeffreystad,KS,91364,US,offline,2024-01-03 21:28:13.276849
MERCH_000080,Hamilton PLC,5311,028 Clark Plains Apt. 384,South Tiffany,MD,99781,US,offline,2026-01-31 20:34:36.406932
MERCH_000081,George Group,5814,9827 Dyer Point,South Jennifer,NE,53821,US,offline,2025-10-06 04:01:29.938593
