payment_id,account_id,payment_date,amount,payment_type,autopay_flag,created_at
PAY_0000000,ACC_001093,2025-11-19,878.20,online,False,2025-11-19
PAY_0000001,ACC_000488,2026-01-01,861.68,check,False,2026-01-01
PAY_0000002,ACC_000929,2024-04-13,942.53,wire,False,2024-04-13
PAY_0000003,ACC_000599,2024-12-29,1796.51,ach,False,2024-12-29
PAY_0000004,ACC_001171,2025-08-15,596.13,wire,False,2025-08-15
PAY_0000005,ACC_001024,2025-11-04,1533.71,wire,False,2025-11-04
PAY_0000006,ACC_000513,2024-06-21,1063.68,ach,False,2024-06-21
PAY_0000007,ACC_001033,2025-09-07,1125.79,ach,True,2025-09-07
PAY_0000008,ACC_000225,2025-09-12,547.32,ach,False,2025-09-12
PAY_0000009,ACC_000978,2024-04-09,845.71,wire,False,2024-04-09
PAY_0000010,ACC_000543,2024-10-10,221.67,wire,True,2024-10-10
PAY_0000011,ACC_000265,2025-09-03,1305.17,ach,False,2025-09-03
PAY_0000012,ACC_001106,2025-08-01,1260.42,wire,False,2025-08-01
PAY_0000013,ACC_000930,2024-02-29,837.32,wire,True,2024-02-29
PAY_0000014,ACC_000170,2024-05-29,473.80,online,True,2024-05-29
PAY_0000015,ACC_000655,2025-10-10,517.53,check,False,2025-10-10
PAY_0000016,ACC_000076,2025-02-14,1993.52,ach,False,2025-02-14
PAY_0000017,ACC_000326,2025-08-06,1110.86,check,False,2025-08-06
PAY_0000018,ACC_000348,2024-08-10,427.14,online,True,2024-08-10
PAY_0000019,ACC_000499,2025-10-19,867.10,ach,False,2025-10-19
PAY_0000020,ACC_001168,2025-09-05,1352.90,online,False,2025-09-05
PAY_0000021,ACC_000146,2025-06-24,595.17,check,False,2025-06-24
PAY_0000022,ACC_000761,2025-08-30,1294.05,wire,False,2025-08-30
PAY_0000023,ACC_001010,2025-10-29,1370.15,ach,False,2025-10-29
PAY_0000024,ACC_000512,2026-01-01,1036.24,online,False,2026-01-01
PAY_0000025,ACC_000541,2024-10-25,1651.02,wire,False,2024-10-25
PAY_0000026,ACC_000444,2024-07-22,693.89,ach,False,2024-07-22
PAY_0000027,ACC_000625,2025-10-12,857.81,online,True,2025-10-12
PAY_0000028,ACC_000584,2024-01-08,341.69,check,False,2024-01-08
PAY_0000029,ACC_000306,2025-04-25,281.33,online,False,2025-04-25
PAY_0000030,ACC_000122,2024-11-18,1708.70,check,False,2024-11-18
PAY_0000031,ACC_001120,2025-06-12,1855.72,online,True,2025-06-12
PAY_0000032,ACC_001147,2025-06-05,815.23,check,True,2025-06-05
PAY_0000033,ACC_000649,2024-01-09,1809.64,online,True,2024-01-09
PAY_0000034,ACC_000230,2024-05-19,108.12,check,True,2024-05-19
PAY_0000035,ACC_001151,2026-02-25,807.35,online,True,2026-02-25
PAY_0000036,ACC_000709,2024-04-10,513.54,online,False,2024-04-10
PAY_0000037,ACC_000475,2025-04-25,843.61,online,False,2025-04-25
PAY_0000038,ACC_001010,2025-03-24,1348.67,wire,False,2025-03-24
PAY_0000039,ACC_000785,2024-05-04,471.84,ach,False,2024-05-04
PAY_0000040,ACC_001151,2024-11-02,1767.10,wire,True,2024-11-02
