statement_id,account_id,statement_date,ending_balance,minimum_due,payment_due_date,delinquency_bucket,revolving_flag,utilization_rate,created_at
STMT_ACC_000000_202603,ACC_000000,2026-03-01,9592.99,90.56,2026-03-26,91+,False,0.0241,2026-03-01
STMT_ACC_000000_202601,ACC_000000,2026-01-30,16159.64,98.62,2026-02-24,61-90,False,0.5289,2026-01-30
STMT_ACC_000000_202512,ACC_000000,2025-12-31,18670.19,26.22,2026-01-25,current,False,0.6898,2025-12-31
STMT_ACC_000000_202512,ACC_000000,2025-12-01,18586.21,77.19,2025-12-26,91+,True,0.3935,2025-12-01
STMT_ACC_000000_202511,ACC_000000,2025-11-01,5476.34,49.63,2025-11-26,31-60,True,0.0100,2025-11-01
STMT_ACC_000000_202510,ACC_000000,2025-10-02,19256.87,72.43,2025-10-27,current,False,0.4658,2025-10-02
STMT_ACC_000000_202509,ACC_000000,2025-09-02,6031.41,56.26,2025-09-27,31-60,True,0.4062,2025-09-02
STMT_ACC_000000_202508,ACC_000000,2025-08-03,854.91,96.50,2025-08-28,61-90,False,0.0045,2025-08-03
STMT_ACC_000000_202507,ACC_000000,2025-07-04,5067.42,69.71,2025-07-29,61-90,False,0.1526,2025-07-04
STMT_ACC_000000_202506,ACC_000000,2025-06-04,17503.58,40.93,2025-06-29,91+,False,0.3095,2025-06-04
STMT_ACC_000000_202505,ACC_000000,2025-05-05,7693.54,70.92,2025-05-30,1-30,True,0.5793,2025-05-05
STMT_ACC_000000_202504,ACC_000000,2025-04-05,8082.72,34.04,2025-04-30,current,False,0.4724,2025-04-05
STMT_ACC_000000_202503,ACC_000000,2025-03-06,8282.16,75.57,2025-03-31,1-30,False,0.1438,2025-03-06
STMT_ACC_000000_202502,ACC_000000,2025-02-04,3266.89,60.12,2025-03-01,1-30,True,0.4476,2025-02-04
STMT_ACC_000000_202501,ACC_000000,2025-01-05,4170.11,82.19,2025-01-30,61-90,True,0.7020,2025-01-05
STMT_ACC_000000_202412,ACC_000000,2024-12-06,11417.51,73.28,2024-12-31,current,True,0.3571,2024-12-06
STMT_ACC_000001_202603,ACC_000001,2026-03-01,51.10,98.65,2026-03-26,current,True,0.1602,2026-03-01
STMT_ACC_000001_202601,ACC_000001,2026-01-30,5836.27,40.38,2026-02-24,current,False,0.3765,2026-01-30
STMT_ACC_000001_202512,ACC_000001,2025-12-31,5586.47,67.12,2026-01-25,current,True,0.7603,2025-12-31
STMT_ACC_000001_202512,ACC_000001,2025-12-01,5599.57,92.47,2025-12-26,current,False,0.4951,2025-12-01
STMT_ACC_000001_202511,ACC_000001,2025-11-01,4404.59,47.20,2025-11-26,1-30,True,0.0650,2025-11-01
STMT_ACC_000001_202510,ACC_000001,2025-10-02,307.13,25.49,2025-10-27,current,True,0.5652,2025-10-02
STMT_ACC_000001_202509,ACC_000001,2025-09-02,1778.31,48.71,2025-09-27,31-60,False,0.7573,2025-09-02
STMT_ACC_000001_202508,ACC_000001,2025-08-03,4123.15,88.06,2025-08-28,91+,False,0.2916,2025-08-03
STMT_ACC_000001_202507,ACC_000001,2025-07-04,2081.35,70.50,2025-07-29,91+,False,0.1505,2025-07-04
STMT_ACC_000001_202506,ACC_000001,2025-06-04,6523.45,26.21,2025-06-29,1-30,False,0.3794,2025-06-04
STMT_ACC_000001_202505,ACC_000001,2025-05-05,730.35,29.77,2025-05-30,current,True,0.6755,2025-05-05
